id,admin_equipment,lot,type_1,type_2,type_3,generic_name,quantity,brand,model,serial_number,commissioning_year,served_zones,status,photoPlaque,type_name
-Nyuk2sOnJVAvqscql1T.-Nz26gRVs_EJvq9BizF9.-Nz7fIj-skLsYY6jj52J,-L6W1CtDDycktRnlxDK5,-L6W1CskVQMe43Y3oFbu,-L6SNFRvFPdkP5it-h-I,-L6W1CtDDycktRnlxDK5,,Armoire divisionnaire,1,LEG,,,2023,,En service,Equipements/-Nyuk2sOnJVAvqscql1T/-Nz26gRVs_EJvq9BizF9/-Nz7fIj-skLsYY6jj52J/photoPlaque/20240530_104946692_rH9jvNjQTbRe03GFSdBG5TYPHoA2_Photo.jpg,Armoire électrique
-Mvdim6KExzpmXfk7xzT.-Mx6Viuk_rsxi04nIpTU.-Myw5fAqJ52M7u7un4dN,-L6SNFRvFPdkP5it-h-I,-L6W1CskVQMe43Y3oFbu,-L6SNFRvFPdkP5it-h-I,,,Armoire électrique,1,,,,,boulangerie,En service,Equipements/-Mvdim6KExzpmXfk7xzT/-Mx6Viuk_rsxi04nIpTU/-Myw5fAqJ52M7u7un4dN/photoPlaque/20220324_132618288_uxUxt2trPeOpkakHr0TqIZr5Srf2_Photo.jpg,Armoire électrique
-O8gQ8ZRfM8zzfdJXkW_.-O8k5BpmGoVy4-jeQelh.-O9jDw8ehpRgCAExET09,-L6SNFRvFPdkP5it-h-I,-L6W1CskVQMe43Y3oFbu,-L6SNFRvFPdkP5it-h-I,,,Armoire électrique,1,Schneider Electric ,PrimaSeT,,2024,,En service,Equipements/-O8gQ8ZRfM8zzfdJXkW_/-O8k5BpmGoVy4-jeQelh/-O9jDw8ehpRgCAExET09/photoPlaque/20241021_153250439_2yu8hSihVlTYavicNmcCGqVuLSG3_Photo.jpg,Armoire électrique
-NiZGI9teGykfVHCFAiX.-Nie0KidW_uM9_x5EcVZ.-Nj73w6D_ILkcklfwk8o,-LmenQ5fhCXyJT6Bwb_T,-L6W1C0X9zmAZC-JClDm,-L6SNIJ6-2j6-17fnheD,-LmenQ5fhCXyJT6Bwb_T,,Climatiseur mono-split,1,MITSUBISHI,MUZ-GF60VE,8 000561 T,2018,,En service,Equipements/-NiZGI9teGykfVHCFAiX/-Nie0KidW_uM9_x5EcVZ/-Nj73w6D_ILkcklfwk8o/photoPlaque/20231128_100515374_xfUFa59WcxayYYguFczJZzfFEqt1_Photo.jpg,Système de climatisation
-NnEwil5o7pqSe5hHUBd.-NqTBIh7JCaPBxMdj8Cp.-NuY8g5HgTGILFOCF55M,-MHGmd2k274sFDJPeA0l,-L6W1C0X9zmAZC-JClDm,-L6SNIJ6-2j6-17fnheD,-MHGmd2k274sFDJPeA0l,,Unité extérieure,1,Hitachi,RAC-60WPA,16B2926923,,,En service,Equipements/-NnEwil5o7pqSe5hHUBd/-NqTBIh7JCaPBxMdj8Cp/-NuY8g5HgTGILFOCF55M/photoPlaque/IMG_20240202_153540772.jpg,Système de climatisation
-NIkuJyxKrs0kuPvNBaq.-NNgA_cZq6qOVMTIlKT2.-NNgE0dVo1d-qoR0Oj6j,-LmenQ5fhCXyJT6Bwb_T,-L6W1C0X9zmAZC-JClDm,-L6SNIJ6-2j6-17fnheD,-LmenQ5fhCXyJT6Bwb_T,,Climatiseur mono-split,1,Daikin,inverteur,2mxs50h3v1b,2013,,En service,Equipements/-NIkuJyxKrs0kuPvNBaq/-NNgA_cZq6qOVMTIlKT2/-NNgE0dVo1d-qoR0Oj6j/photoPlaque/20230222_112640653_BoFNfjVOsVM2sgkQfwtnIQboF1q1_Photo.jpg,Système de climatisation
-NgXwkuM-EdwPLSRy99h.-NgZHVtT5x0LtsBx1f5k.-NkziUW3obdfkEUcu00x,-LmengAraY6QMveFAGaK,-L6W1C0X9zmAZC-JClDm,-L6SNIJ6-2j6-17fnheD,-LmengAraY6QMveFAGaK,,Climatiseur multi-split,1,MITSUBISHI,,,,,,Equipements/-NgXwkuM-EdwPLSRy99h/-NgZHVtT5x0LtsBx1f5k/-NkziUW3obdfkEUcu00x/photoPlaque/20231206_152335888_Y4Z08in2G9glsmgbHM8qTZVaXJL2_Photo.jpg,Système de climatisation
-MZMZG4fLgP6UtLDdopr.-MZTe6QYEoholu4lEwag.-MgQ4irc0ws1AEsvxEdB,-LmenQ5fhCXyJT6Bwb_T,-L6W1C0X9zmAZC-JClDm,-L6SNIJ6-2j6-17fnheD,-LmenQ5fhCXyJT6Bwb_T,,Climatiseur mono-split,1,Daikin,,,,,En service,Equipements/-MZMZG4fLgP6UtLDdopr/-MZTe6QYEoholu4lEwag/-MgQ4irc0ws1AEsvxEdB/photoPlaque/20210806_105212219_Szgv0my0hYejhydXKeWq272q2J63_Photo.jpg,Système de climatisation
-NP1qe_HdevbuZ4BwjwL.-O9hr3rw7pnMgxI_I6xz.-O9hySEYmZv31J1YStYN,-L6SNK9ey-lcjC4w8EOE,-L6W1C0X9zmAZC-JClDm,-L6SNIJ6-2j6-17fnheD,-L6SNK9ey-lcjC4w8EOE,,VRV - Unité extérieure,1,ATLANTIC FIJITSU,AJY108LELAH,RO01027,,,En service,Equipements/-NP1qe_HdevbuZ4BwjwL/-O9hr3rw7pnMgxI_I6xz/-O9hySEYmZv31J1YStYN/photoPlaque/20241021_092838790_yxo6fhSTtkcYnx3tRnmMqPKKDL82_Photo.jpg,Système de climatisation
-Nl7YdEU5i8F3dzKELMr.-NlvzvN2GQOjSaEv1bbv.-NlxDXtEmdaCUnew7gbu,-L6SNK9ey-lcjC4w8EOE,-L6W1C0X9zmAZC-JClDm,-L6SNIJ6-2j6-17fnheD,-L6SNK9ey-lcjC4w8EOE,,VRV - Unité extérieure,1,MITSUBISHI,PUHY-P250YNW-A2,37P01362,01/01/2024,,En travaux,Equipements/-Nl7YdEU5i8F3dzKELMr/-NlvzvN2GQOjSaEv1bbv/-NlxDXtEmdaCUnew7gbu/photoPlaque/20231218_140030736_PDFK2i1oi2OY0NH5JJM2dva9T5W2_Photo.jpg,Système de climatisation
-MmNEfAFe7z1NVY3TF0l.-MsnoscCRBPFqGdlcaiB.-Mso3YV_oU6U9eHUBsGF,-L6W1CR7OzBB6_M56xjz,-L6W1C0X9zmAZC-JClDm,-L6SNFxpdqo1MAwMj0gT,-L6W1CR7OzBB6_M56xjz,,Extracteur,1,WESPER,WTA 20,066230 FT/1,,,En service,Equipements/-MmNEfAFe7z1NVY3TF0l/-MsnoscCRBPFqGdlcaiB/-Mso3YV_oU6U9eHUBsGF/photoPlaque/HH EXT 10 PLQ.jpg,Ventilateur mécanique
-Na6vagVDtp4n7uCfT4g.-NbFT2in9JcgC4fGdK7w.-NbFcryfUIAgE2M4mQX9,-L6W1CQs4rDtvyfhdSUI,-L6W1C0X9zmAZC-JClDm,-L6SNFxpdqo1MAwMj0gT,-L6W1CQs4rDtvyfhdSUI,,VMC simple flux,1,,,,,,En service,Equipements/-Na6vagVDtp4n7uCfT4g/-NbFT2in9JcgC4fGdK7w/-NbFcryfUIAgE2M4mQX9/photoPlaque/20231109_151256248_H0d0spYifidAGuO9HkuCxzsCJd53_Photo.jpg,Ventilateur mécanique
-NvkUhFM9gUYR2U5p1tU.-NvlT4BN4d9-_NE7mnlH.-Nyz1et33wVUD_thrvlu,-L6W1CR7OzBB6_M56xjz,-L6W1C0X9zmAZC-JClDm,-L6SNFxpdqo1MAwMj0gT,-L6W1CR7OzBB6_M56xjz,,Extracteur,,SOLER & PALAU,TD-250/1,04R42434,INDETERMINE,,,Equipements/-NvkUhFM9gUYR2U5p1tU/-NvlT4BN4d9-_NE7mnlH/-Nyz1et33wVUD_thrvlu/photoPlaque/20240528_115155462_QYjZHc85HoZCdhaTcruIMAfL2ut2_Photo.jpg,Ventilateur mécanique
-Nh_mMzPdbnOMA5RGs_E.-Nh_nAkAs8U1_N7IIfVt.-NlTDl-wWi01-uhDhoAs,-L6W1CQs4rDtvyfhdSUI,-L6W1C0X9zmAZC-JClDm,-L6SNFxpdqo1MAwMj0gT,-L6W1CQs4rDtvyfhdSUI,,VMC simple flux,1,helios,ctd 1030/32,20003560,???,,En service,Equipements/-Nh_mMzPdbnOMA5RGs_E/-Nh_nAkAs8U1_N7IIfVt/-NlTDl-wWi01-uhDhoAs/photoPlaque/20231212_143320185_at67DXWhyWXttWoOEHIM4tPF7yY2_Photo.jpg,Ventilateur mécanique
-M-kT58TNLRjUgwpaxbw.-M-kU05uYM_RpTgV5YJw.-MAv5KM9RGfNLwMqELcQ,-L6W1CQs4rDtvyfhdSUI,-L6W1C0X9zmAZC-JClDm,-L6SNFxpdqo1MAwMj0gT,-L6W1CQs4rDtvyfhdSUI,,VMC simple flux,,France Air,MODULYS ECM 4000,216637 01 04,2019,,En service,Equipements/-M-kT58TNLRjUgwpaxbw/-M-kU05uYM_RpTgV5YJw/-MAv5KM9RGfNLwMqELcQ/photoPlaque/20200710_094446048_RpQZ8E8YY6aTq0J5gptZnNVkX4l2_Photo.jpg,Ventilateur mécanique
-NYrllHVp4ta05b8c6I8.-NYrrFw3Ogsx1-21dLJU.-NYs6du-VMUM_iw-83de,-L6W1CR7OzBB6_M56xjz,-L6W1C0X9zmAZC-JClDm,-L6SNFxpdqo1MAwMj0gT,-L6W1CR7OzBB6_M56xjz,,Extracteur,1,SANEL,MTA71G2,,2022,,En service,Equipements/-NYrllHVp4ta05b8c6I8/-NYrrFw3Ogsx1-21dLJU/-NYs6du-VMUM_iw-83de/photoPlaque/20230704_142906234_QMEkLn6HcveArmtsAOqXyN9bRm62_Photo.jpg,Ventilateur mécanique
-O2TYvwQjNQjQEC0fzwp.-O2Ttgnk7V3tQL0LEdWr.-O2TuLFyp-7eKmDBwtoK,-L6W1CR7OzBB6_M56xjz,-L6W1C0X9zmAZC-JClDm,-L6SNFxpdqo1MAwMj0gT,-L6W1CR7OzBB6_M56xjz,,Extracteur,1,VEM,,13955210091609,2016,,En service,Equipements/-O2TYvwQjNQjQEC0fzwp/-O2Ttgnk7V3tQL0LEdWr/-O2TuLFyp-7eKmDBwtoK/photoPlaque/20241003_083226660_YCHYZ4TjtWe0PH9S9qGKqPNhFWV2_Photo.jpg,Ventilateur mécanique
-N0jABZ6CtGn3-gqsj_6.-N0jAPwpUPSZgJYu_V5B.-N3UpxViB_jk-T-e9GYj,-L6SNIZaDJmq02oH7A1D,-L6W1BJQbGzHDGMqrJlu,-L6SNGIjZLVi04tTfF7D,-L6SNIZaDJmq02oH7A1D,,Compteur d'eau,1,HYDRUS,171B,,2022,"réseau  non identifié 
",En service,Equipements/-N0jABZ6CtGn3-gqsj_6/-N0jAPwpUPSZgJYu_V5B/-N3UpxViB_jk-T-e9GYj/photoPlaque/20220601_172018826_0gdCGguR8Bfo1oMXiSMRHBHDeag2_Photo.jpg,Compteur
-NlNFiXU-W3agFrum6B9.-NoWG37JJmejvYSe5_lF.-NtpvohqSi1zMwddhdC0,-L6SNIaRkTVCl6dhp_VD,-L6W1BJQbGzHDGMqrJlu,-L6SNGIjZLVi04tTfF7D,-L6SNIaRkTVCl6dhp_VD,,Compteur gaz,1,MAGNOL,G 10.S16.32,,2003,,En service,Equipements/-NlNFiXU-W3agFrum6B9/-NoWG37JJmejvYSe5_lF/-NtpvohqSi1zMwddhdC0/photoPlaque/20240325_150701228_w4gbK2NYbbaRuHDSZMnBX5INVrF2_Photo.jpg,Compteur
-LhjhJTc50wBQ5FPT7-9.-LhjhTjtayZ2DyB_HHb5.-LiD7PXrJkLqPR4e764f,-L6W1BK5NuH10_W-2Vr2,-L6W1BJQbGzHDGMqrJlu,-L6SNGIjZLVi04tTfF7D,-L6W1BK5NuH10_W-2Vr2,,Compteur électrique,1,Itron,ace6000,,2016,services generaux,En service,Equipements/-LhjhJTc50wBQ5FPT7-9/-LhjhTjtayZ2DyB_HHb5/-LiD7PXrJkLqPR4e764f/photoPlaque/20190625_101538_fWz5SPvKH2MfnxdCqIts4eIGkPi2_Photo.jpg,Compteur
-NzgsgFroHpi4qEKuOes.-NzgtFX-Rbj-uPAJ1Zi_.-O0iNedKx1tCBjbV0fZl,-L6SNIZaDJmq02oH7A1D,-L6W1BJQbGzHDGMqrJlu,-L6SNGIjZLVi04tTfF7D,-L6SNIZaDJmq02oH7A1D,,Compteur d'eau,1,ZENNER,,,2022,,En service,Equipements/-NzgsgFroHpi4qEKuOes/-NzgtFX-Rbj-uPAJ1Zi_/-O0iNedKx1tCBjbV0fZl/photoPlaque/IMG_6396.jpg,Compteur
-Md2trdF12ugHJCq4VDD.-MlKs0QBNRAyyiIOQ-5n.-MlQShi0ySU8YMaW2_yG,-L6SNGIjZLVi04tTfF7D,-L6W1BJQbGzHDGMqrJlu,-L6SNGIjZLVi04tTfF7D,,,Compteur,1,,,,,,,Equipements/-Md2trdF12ugHJCq4VDD/-MlKs0QBNRAyyiIOQ-5n/-MlQShi0ySU8YMaW2_yG/photoPlaque/20211201_124045817_AkpcRndgYGVj716MTXHp018pP0A2_Photo.jpg,Compteur
-Nq2cU-3DqHZBC-Neg0I.-NtHSLyKzQYyx_ew99n-.-Nz3oWE7y298bDX00zZi,-L6SNIZaDJmq02oH7A1D,-L6W1BJQbGzHDGMqrJlu,-L6SNGIjZLVi04tTfF7D,-L6SNIZaDJmq02oH7A1D,,Compteur d'eau,1,MVM,TCM142,L23BD000033Y,2022,,En service,Equipements/-Nq2cU-3DqHZBC-Neg0I/-NtHSLyKzQYyx_ew99n-/-Nz3oWE7y298bDX00zZi/photoPlaque/20240529_164806677_kDXhR7c8l9OEaxTFwppzzFTBbm83_Photo.jpg,Compteur
-MHvfKyNjuMQ8TyB1iSS.-MtltZ-poyuCDgbrHWh4.-MMQWt8p2oyQtEWWk4ge,-L6W1BKQmyYoeBokNXSJ,-L6W1BJQbGzHDGMqrJlu,-L6SNGIjZLVi04tTfF7D,-Lwry5uN62JInEG6vc1V,,Compteur d'énergie,1,,,,2014,,,Equipements/-MHvfKyNjuMQ8TyB1iSS/-MtltZ-poyuCDgbrHWh4/-MMQWt8p2oyQtEWWk4ge/photoPlaque/20201118_132609745_LUzSOcLi5cTqGstjvsL3QHv62zI2_Photo.jpg,Compteur
-NXyZu_RTGjCl7uscyOk.-NY20i7dci7-sGDWO5xS.-NY3FB7NdbRXvXhgo_8z,-L6SNEsBahuWJnp4gKy5,-L6W1C0X9zmAZC-JClDm,-L6SNEsBahuWJnp4gKy5,,,CTA,1,PYRO SYSTÈME,PYROSYSTEMEX / VARIANTE,,,,En service,Equipements/-NXyZu_RTGjCl7uscyOk/-NY20i7dci7-sGDWO5xS/-NY3FB7NdbRXvXhgo_8z/photoPlaque/20230816_094930123_upFHlu3EhVZyAG44q2xz3phHyGD2_Photo.jpg,CTA
-MvcxoiFEohOhXdF8MES.-MvdE2vgDn_YOYlobjB5.-MvdIygbeDYI4ks64snu,-L6SNEsBahuWJnp4gKy5,-L6W1C0X9zmAZC-JClDm,-L6SNEsBahuWJnp4gKy5,,,CTA,1,WESPER,,,2005,Zone superstructure,En service,Equipements/-MvcxoiFEohOhXdF8MES/-MvdE2vgDn_YOYlobjB5/-MvdIygbeDYI4ks64snu/photoPlaque/20220215_103354359_hjm80Ndwu4WH0dW0ltebBl36YIo2_Photo.jpg,CTA
-Mbqa0qrH-RUA-GOhSKQ.-MbqaviDqEMFOfIEb1D5.-MchaeiPgBH2myHLM6p1,-L6SO0mX5iDpYBDnOjam,-L6W1C0X9zmAZC-JClDm,-L6SNEsBahuWJnp4gKy5,-L6SO0mX5iDpYBDnOjam,,CTA double flux,1,HYDRONIC,CARRIER AXM 170 CONFORT INTRO CTA 04,00020SO15003025,2016,Bureaux,En service,Equipements/-Mbqa0qrH-RUA-GOhSKQ/-MbqaviDqEMFOfIEb1D5/-MchaeiPgBH2myHLM6p1/photoPlaque/20210705_092454585_YCHYZ4TjtWe0PH9S9qGKqPNhFWV2_Photo.jpg,CTA
-NmCAN6ogp29vyy6blRy.-NmGO0w1XW4VlbRPWccb.-NndnSc6Rd1KseyzRXfH,-L6SNEsBahuWJnp4gKy5,-L6W1C0X9zmAZC-JClDm,-L6SNEsBahuWJnp4gKy5,,,CTA,1,CLINICAIR,CLNX2SRD,,2 019,bloc opératoire ,,Equipements/-NmCAN6ogp29vyy6blRy/-NmGO0w1XW4VlbRPWccb/-NndnSc6Rd1KseyzRXfH/photoPlaque/20240124_135042041_c3FEzqderKS90ngWmuJAe3RCKM52_Photo.jpg,CTA
-NvGF6c1fyxIqLisV1T8.-Nw4EkW3OOtL4IPS8ZE5.-NwKfc8rfhRX6ikQcJJT,-L6SNEsBahuWJnp4gKy5,-L6W1C0X9zmAZC-JClDm,-L6SNEsBahuWJnp4gKy5,,,CTA,1,DENCOHAPPEL,COM4MINI CC40AVBV,636313.0030,2016,,En service,Equipements/-NvGF6c1fyxIqLisV1T8/-Nw4EkW3OOtL4IPS8ZE5/-NwKfc8rfhRX6ikQcJJT/photoPlaque/20240425_143552311_QA3hQzEDpNVxsxsI36egxIlPy7I2_Photo.jpg,CTA
